"","X","Region","euQ1_2013","euQ2_2013","euQ3_2013","euQ4_2013","euQ1_2014","euQ2_2014","euQ3_2014","euQ4_2014","euQ1_2015","euQ2_2015","euQ3_2015","euQ4_2015","euQ1_2016","euQ2_2016","euQ3_2016","euQ4_2016","euQ1_2017","euQ2_2017","euQ3_2017","euQ4_2017","euQ1_2018","euQ2_2018","euQ3_2018","euQ4_2018","allQ1_2013","allQ2_2013","allQ3_2013","allQ4_2013","allQ1_2014","allQ2_2014","allQ3_2014","allQ4_2014","allQ1_2015","allQ2_2015","allQ3_2015","allQ4_2015","allQ1_2016","allQ2_2016","allQ3_2016","allQ4_2016","allQ1_2017","allQ2_2017","allQ3_2017","allQ4_2017","allQ1_2018","allQ2_2018","allQ3_2018","allQ4_2018","excQ1_2013","excQ2_2013","excQ3_2013","excQ4_2013","excQ1_2014","excQ2_2014","excQ3_2014","excQ4_2014","excQ1_2015","excQ2_2015","excQ3_2015","excQ4_2015","excQ1_2016","excQ2_2016","excQ3_2016","excQ4_2016","excQ1_2017","excQ2_2017","excQ3_2017","excQ4_2017","excQ1_2018","excQ2_2018","excQ3_2018","excQ4_2018","no_leave","no_validvotes","prop_leave"
"1",1,"North East",1662234,1616168,1466787,1502482,1952427,1772033,1637650,1782404,1877520,1696352,1578764,1633663,1829888,1882553,1724159,1813754,1937626,1737642,1934021,2002695,2089956,2021403,1834932,1948235,3048359,3014656,2833402,2940574,3279106,3025287,2961210,3236293,3230306,3064648,2910696,2890110,2885288,2985822,2916812,3178267,3197153,3104263,3172632,3438372,3342476,3398526,3179934,3247962,0.545288136994363,0.536103621773098,0.517676983357815,0.510948542699487,0.595414420881789,0.585740460326574,0.553034063777983,0.550754829677041,0.581220478802937,0.553522623152806,0.542400855328073,0.565259799800008,0.634213291706062,0.630497397366621,0.591110774365986,0.570673892407403,0.606047317722987,0.559759917249279,0.609595124804894,0.582454429014662,0.625271804494632,0.594788152275428,0.577034617699613,0.599833064549401,778103,1340698,0.580371567646107
"2",2,"North West",3783276,3587677,3364689,3199785,3610845,3534319,3274844,3270161,3182426,3120492,2917629,2935203,3146183,3323543,3262390,3521457,3666294,3436670,3509463,3522030,3540786,3627696,3474426,3624232,7081873,7348620,6908775,7192198,6891777,6797248,6774573,6895552,6752370,7231558,6459337,6577678,6386961,7174074,6590863,7639536,7318947,7130804,6884757,7366878,6804461,7020662,6942522,7095117,0.53421969018648,0.488210983830978,0.487016728725425,0.444896678317254,0.523935263720808,0.519963226293935,0.483402274947809,0.474242091133531,0.471305038082925,0.431510332904749,0.451691713870944,0.446236954742996,0.492594678439402,0.463271357390515,0.494986771838529,0.460951686070987,0.500931896350664,0.481947056741428,0.509743916887698,0.478089904570158,0.520362450457134,0.516717084514252,0.50045588620389,0.510806516650818,1966925,3665945,0.53653969167568
"3",3,"Yorkshire and The Humber",2296980,2164829,2160693,1969794,2306539,2262213,2112150,2078417,2099445,2050699,1949208,1860963,1954945,2023069,2034752,2231788,2435141,2370015,2311440,2516483,2692220,2734172,2718438,2713008,3860286,4021738,3877529,3776019,3899957,3878497,3800277,3780469,3778522,3747315,3535398,3521081,3393684,3715006,3625177,4022572,4213540,4143985,4068223,4393764,4367293,4550931,4575688,4680304,0.595028451259829,0.53828195670628,0.557234517137074,0.521658921737417,0.591426777269596,0.583270529795434,0.555788433316835,0.549777554054801,0.555625982857848,0.547244894010778,0.551340471426414,0.528520360650607,0.576053928415256,0.544566819003792,0.561283490433709,0.554816172339488,0.577932332433061,0.571916886764793,0.568169444005405,0.572739682877824,0.616450510648129,0.600793991383302,0.594104755394162,0.579664910655376,1580937,2739235,0.577145443892182
"4",4,"East Midlands",2222857,2198009,2256738,2278367,2246006,2157462,2071465,2125202,2087839,2017329,2082075,2225571,2207130,2297741,2218463,2390682,2496627,2631833,2666132,2912452,2964700,2853442,2746412,2803933,4550610,4798023,4664278,4692694,4456574,4344755,4284705,4459563,4176921,4299783,4155950,4290835,4184446,4431675,4362471,4763407,4821429,5037976,5063038,5626863,5403107,5397112,5415288,5954638,0.488474512208253,0.45810722457979,0.483834368363121,0.485513651646581,0.503975924106724,0.496567010107589,0.483455687147657,0.476549383874608,0.499851206187524,0.469169955786141,0.500986537374126,0.518680163651131,0.527460504927056,0.518481386834549,0.508533581082831,0.501884890373634,0.517818887304988,0.522398876056575,0.5265873967369,0.517597816047769,0.548702811178827,0.528697940676421,0.507158991359278,0.470882193006527,1475479,2508515,0.588188230885604
"5",5,"West Midlands",2661517,2637775,2591715,2693628,2850121,2721007,2516637,2744953,2832520,2867864,2507700,2925726,3093454,3191622,3126252,3453813,3939703,3553054,3503183,3686222,3954204,3691561,3487132,3859929,6162599,6208172,6182550,6890015,6616575,6691153,6271003,7004889,6705254,6842966,5974171,6877175,6942973,7518667,7030524,8240804,8561212,8157565,7849017,8890658,8897012,7993702,8133275,8414169,0.431882230208391,0.424887551440263,0.419198389014242,0.390946608969647,0.430754733377918,0.406657417637887,0.401313314632444,0.391862454922555,0.422432916038677,0.419096631489912,0.419756983856003,0.425425556278559,0.445551783076212,0.424493065060602,0.444668420163277,0.419111169249991,0.460180521169199,0.435553256394525,0.446321239971833,0.414617455760867,0.444441796863936,0.46180868388639,0.428748812747632,0.458741558435539,1755687,2962862,0.592564554137182
"6",6,"East of England",3311514,3582977,3345828,3257001,3247459,3576923,3301068,3355265,3128601,3212986,3246480,3418675,3269668,3490082,3717785,3639497,3616993,3870267,3872197,3859389,3593533,3478704,4003481,3747819,5851638,6532754,5890478,6188355,6011127,6107117,5915264,6199697,5995448,6075465,5869596,6242199,6209487,6882426,6765811,6832904,7101083,7371202,7183590,7292884,6873877,6732156,7360014,7312591,0.56591231378291,0.548463481098477,0.568006195762042,0.526311273351319,0.540241289195853,0.5856974739472,0.558059285266051,0.54119822307445,0.521829394567345,0.528846104783749,0.553101099292013,0.547671581761491,0.52656008459314,0.50710054855657,0.549495840188264,0.532642782629465,0.509357938782014,0.525052359167474,0.539033686499369,0.529199285221046,0.522781103007808,0.516729558851577,0.543950188138229,0.51251587843488,1880367,3328983,0.564847282187984
"7",7,"London",4080257,3834075,3945554,3841586,3997206,3863036,3590817,3515851,3059318,3137624,3146486,3148305,2937674,3002896,3550091,3947043,3724504,3653945,3883673,3802045,3756721,3996961,4193628,4100891,8020832,8494839,7934241,8356667,7973798,7535972,7266621,7985423,7948286,7885304,7207830,7609643,7004634,7903807,7484512,9308701,9107490,8997419,8822573,9264940,9338349,9397245,9166777,9563347,0.508707450798122,0.451341691113863,0.497281844602401,0.459703132839923,0.501292608616371,0.512612838795049,0.494152233892479,0.440283626803489,0.384902858301777,0.397907804188653,0.436537210228321,0.413725716173545,0.419390078054042,0.379930329776524,0.474324979370733,0.424016519598169,0.408949556903164,0.406110352313258,0.440197321121627,0.410369090355685,0.402289633852836,0.425333275869683,0.457481184499198,0.428813364191428,1513232,3776751,0.400670311598514
"8",8,"South East",5091382,5182905,5106598,5003898,4703333,4736877,4478123,4882464,4758098,4547407,4547290,4811064,4980369,4887816,4984034,5370977,5736603,5297690,5489815,5814975,5737884,5527482,5543537,5788157,9564165,10188601,9680805,9881368,8955677,9110592,8871107,10015050,9232563,10686414,9439432,9681042,9295562,10023703,10268659,11205644,11198166,11393947,11020839,11706906,11315323,11504008,11661182,12515029,0.532339414888806,0.508696434377988,0.527497248420973,0.50639729235871,0.525178945154007,0.519930757518282,0.504798668305996,0.487512693396438,0.515360469243481,0.425531614253388,0.481733434808366,0.496957249023401,0.535779224537473,0.487625780612215,0.485363668225812,0.479309979863719,0.512280582373935,0.464956524723171,0.498130405498166,0.496713222093011,0.507089722494002,0.480483149872636,0.475383799000822,0.462496491218678,2567965,4959683,0.517767970251324
"9",9,"South West",1930045,1901589,1843157,1874460,1847605,1861260,1723259,1758699,1774192,1836587,1776220,1943795,1898969,2038297,1974622,2032100,2322264,2286413,2261100,2374147,2459804,2489829,2295794,2392482,4234905,4490610,4302909,4465377,4098111,4141394,3852074,4407770,3898599,4274104,3970993,4301688,4084490,4553931,4557847,4989077,5047129,5033748,4992479,5352002,5397745,5282652,5311334,5465019,0.455746941194667,0.42345895101111,0.428351378102581,0.419776426492097,0.450843083557278,0.449428380878516,0.447358747521465,0.398999720947327,0.45508450599818,0.429701055472679,0.447298698335656,0.451867964389793,0.464921936398424,0.447590663978001,0.43323569220292,0.407309809008761,0.460115840114251,0.454216818164119,0.452901254066367,0.443599796861062,0.455709560195971,0.471321790646062,0.432244328825866,0.437781094631144,1669711,3172730,0.526269490312759
"10",10,"Wales",2507477,2478381,2440760,2409762,2430803,2172206,1888155,1822397,2029714,2137830,1902108,1923366,2119544,2276860,2073810,2346371,2575248,2482884,2398411,2467935,2587170,2691807,2523601,2674241,4145369,4296008,4090091,4078517,3977838,3646557,3189523,3321168,3320910,3510744,3240854,3180935,3453453,3653854,3500470,4021746,4174179,4212033,4003607,4089157,4142121,4364343,4333808,4349431,0.604886320132176,0.576903255301201,0.596749558872895,0.590842700913102,0.611086474612591,0.595686835554744,0.591986638754447,0.548721714770225,0.61119211300517,0.608939301754842,0.586915670992893,0.604654291898451,0.613746299717992,0.623139293469307,0.592437586952609,0.583420981832269,0.616947188896308,0.589474014092482,0.599062545349731,0.603531485829475,0.62460029535593,0.616772558893744,0.582305676670494,0.614848470983906,854572,1626919,0.525270157887393
"11",11,"Scotland",4284593,4326949,4315559,3991819,4530926,4971132,3776311,4119921,3221086,3758276,2764588,2741685,2641576,2619979,2974980,3117623,3280215,3257488,3534971,3850792,3968913,4070501,4478430,4711931,7597786,8163743,7812778,7554482,7827578,7915458,7078575,7540876,5882101,6760042,5414527,5805904,5388255,5746369,6418242,6598032,6909478,6992661,7286465,7422667,7299903,7658400,8426127,8848626,0.563926517540768,0.530020237040779,0.552371896398439,0.528404065295278,0.578841373410779,0.628028346559353,0.533484634972434,0.546345146107694,0.547608074053812,0.555954534010292,0.510587166709114,0.472223619267559,0.490247028026699,0.455936435686605,0.463519449718474,0.472508014510994,0.474741362516821,0.465843832555303,0.485142109376769,0.518788192976999,0.54369393675505,0.531508017340437,0.53149329460617,0.532504255462939,1018322,2679513,0.380039955021677
"12",12,"Northern Ireland",951411,1008958,1003270,1027114,1016221,1026498,986233,995896,977949,987728,951411,982046,970068,1033200,1037399,1139353,1186415,1247070,1243099,1276107,1359727,1357403,1303828,1358513,1626198,1768963,1722210,1796204,1659910,1702073,1633312,1764894,1739344,1796158,1835790,1792621,1951851,1931439,1854218,2085111,2207225,2316636,2033403,2137031,2168645,2222525,2134281,2369646,0.585052373696192,0.570366932490957,0.582548005179392,0.571824803864149,0.612214517654572,0.603086941629413,0.603824009129915,0.5642809143212,0.562251630499775,0.549911533395169,0.518256990178615,0.547826897040702,0.496999002485333,0.534937940054022,0.559480600447197,0.546423188022125,0.537514299629625,0.538310722962088,0.611339218049742,0.59714014443403,0.626993814109732,0.610748135566529,0.610898002652884,0.573297868120386,349442,790149,0.442248234193804
